Date,Price Per Meter
2017Q1,11802.39934554028
2017Q2,11976.439366899906
2017Q3,12137.11255526972
2017Q4,12288.61535637003
2018Q1,12451.609552270666
2018Q2,12577.510220061706
2018Q3,12685.755398868268
2018Q4,12769.87600051363
2019Q1,12865.166949353592
2019Q2,13007.801203272451
2019Q3,13153.477950818367
2019Q4,13283.176266299099
2020Q1,13437.400503049674
2020Q2,13701.958796118746
2020Q3,13959.054689545274
2020Q4,14136.27545550845
2021Q1,14325.91489552046
2021Q2,14570.316329497817
2021Q3,14824.588489184414
2021Q4,14526.0
2022Q1,15401.56922825785
2022Q2,15902.969946901401
2022Q3,16248.213724730911
2022Q4,14953.5
2023Q1,14537.0
2023Q2,17689.910700370732
2023Q3,15683.5
2023Q4,16380.5
2024Q1,18113.25
2024Q2,17645.369974268622
2024Q3,22430.5
2024Q4,22430.5