,hay-awal-el-montazah,hay-wasat,hay-al-amereyah,hay-sharq,hay-than-el-montazah,hay-gharb,hay-el-gomrok,hay-al-agami,Date
0,2540.613911736064,6635.795634074262,1157.6767778807293,1432.5036822206396,5041.340263244119,68.5970432573381,0.0,0.0,2009Q1
1,2567.117990599688,6665.744740192784,1191.3382688904112,1477.108547865784,5065.118242592368,118.35197280423336,0.0,0.0,2009Q2
2,2584.73108909434,6685.943628821994,1212.6064065731694,1512.062173147606,5082.199427162674,154.63377456033732,0.0,0.0,2009Q3
3,2602.6654514190973,6706.363122033018,1234.8116985284028,1545.004529573614,5098.954023607658,189.97285328911516,0.0,0.0,2009Q4
4,2628.4930468116963,6735.245972391847,1268.7355540099593,1583.0618777741902,5120.821975617314,235.1814473442846,0.0,0.0,2010Q1
5,2656.240830065438,6766.632364545335,1303.8579957387592,1630.331896885992,5145.8535580061025,287.6176472564496,0.0,0.0,2010Q2
6,2696.467415235387,6811.908469200998,1355.613512997179,1694.8200375849283,5181.169042505877,361.1883054592638,0.0,0.0,2010Q3
7,2733.7545094853167,6853.687887936109,1404.2863321076638,1751.2234348204602,5213.091436724605,427.34009716688206,0.0,0.0,2010Q4
8,2746.5376640792015,6868.84833949243,1417.862215320512,1785.5625476565147,5227.649712800692,459.1063087614225,0.0,0.0,2011Q1
9,2764.8376063611095,6889.759036228994,1440.2416371597994,1820.519620271454,5245.069445816111,495.979405536204,0.0,0.0,2011Q2
10,2793.4849346194696,6922.3570552456,1475.7814456151598,1872.8005885406437,5271.750554229641,552.2225867518605,0.0,0.0,2011Q3
11,2807.293313088864,6937.793004885774,1493.940191442387,1893.0422716383512,5283.416620288566,576.3290140203649,0.0,0.0,2011Q4
12,2827.151471068342,6959.902401956041,1520.3869814897034,1920.5498109996142,5299.807804738926,610.0264116927046,0.0,0.0,2012Q1
13,2854.897284088186,6991.2365411535,1555.692785817196,1966.920114580492,5324.621660252599,661.9159229252878,0.0,0.0,2012Q2
14,2901.0537153476052,7043.472688531501,1614.017825085317,2046.0309696570544,5366.375358937624,749.4404723345306,0.0,0.0,2012Q3
15,2948.7703273264206,7096.902808403566,1676.4369368711175,2117.57525664052,5407.073477577787,833.7128606177625,0.0,0.0,2012Q4
16,3019.5885679564053,7177.199119370944,1765.3652856808712,2241.650445650301,5471.7862974009095,969.6193392509786,0.0,0.0,2013Q1
17,3084.5486870173827,7250.8159226964435,1847.0797403102854,2354.7834019003985,5530.9820157211025,1093.8835837216693,0.0,0.0,2013Q2
18,3144.2244623353117,7318.925432377821,1920.3538588503375,2467.350338669079,5587.443885485722,1213.254731573566,0.0,0.0,2013Q3
19,3190.1089651933917,7370.507516167251,1979.616200523884,2539.8047695865025,5627.461054976796,1296.4932275226856,0.0,0.0,2013Q4
20,3253.89111513676,7441.966323376619,2062.901954190182,2636.1508832415584,5682.033985881436,1409.5641430368796,0.0,0.0,2014Q1
21,3334.3947346828127,7532.724161687713,2165.9258309206675,2767.8728350288343,5753.351108337471,1558.414532515591,0.0,0.0,2014Q2
22,3404.065064328782,7611.847399691099,2252.930186486529,2892.253052841112,5817.573734772412,1693.5047695120256,0.0,0.0,2014Q3
23,3440.426856795515,7652.877069098229,2299.3310247621166,2952.393925499932,5849.941269020621,1761.1336830472142,0.0,0.0,2014Q4
24,3524.5430797361714,7747.411435585051,2409.0460156938825,3080.9371491135616,5921.398445678117,1909.1588178318948,0.0,0.0,2015Q1
25,3617.429950653204,7853.01799579751,2527.9146673320533,3239.363301250175,6003.042032956395,2090.5357420001574,0.0,0.0,2015Q2
26,3726.521402958166,7975.798786028185,2666.4455986743833,3420.179576653312,6101.324490011966,2290.3038860611914,0.0,0.0,2015Q3
27,3801.1592552466723,8058.9907346389355,2764.8871005296633,3526.86909761736,6164.192044981229,2418.1440176977962,0.0,0.0,2015Q4
28,3871.3948398501975,8136.89947783985,2857.8727930806554,3623.5795294285804,6223.155286058664,2534.4152458772096,0.0,319.9244103556771,2016Q1
29,4000.0639201585227,8282.427320464602,3024.0561334901054,3833.0373280471294,6334.741796419203,2777.47256784389,0.0,0.0,2016Q2
30,4117.389464936331,8415.053857642486,3171.649196971254,4035.8357744900845,6441.906617686753,2998.551407750605,0.0,230.14500586217446,2016Q3
31,4535.43080150535,8880.680078602543,3730.394229268689,4608.100182823753,6784.208245915672,3710.6835978205463,773.9027081984868,451.1679130080215,2016Q4
32,4799.8988521199735,9173.992740752981,4084.8118505055427,4958.545825880194,7000.429883324145,4147.746496389935,1338.2391533698164,1131.7256589029785,2017Q1
33,4986.62775096023,9385.43693046924,4323.690931594513,5271.391861916049,7165.304863536325,4503.264713903361,1837.9020318292696,811.8898030722944,2017Q2
34,5160.996034333864,9580.737103996871,4547.9504380911685,5545.015311072893,7319.2440051510275,4812.310291663191,2271.7531815895672,1488.1714011179592,2017Q3
35,5343.748829571948,9783.852630508462,4791.492291704868,5794.415764498226,7470.199098961744,5118.989972675,2672.694718426894,1911.270721938009,2017Q4
36,5532.621296846721,9994.262106177637,5039.975915375056,6065.590040714167,7630.214182630292,5441.353093618438,3106.045139054915,2511.0544249557815,2018Q1
37,5662.442882677902,10142.572982854246,5203.472625629842,6300.145614163693,7747.3759093358585,5702.564471044184,3480.571665890917,1939.3467963346247,2018Q2
38,5776.926975719274,10271.540525137527,5349.26613623107,6489.415441149704,7849.866760449277,5913.440623953813,3780.762798504551,2183.350941828394,2018Q3
39,5879.884983608634,10384.964050614122,5487.214507211722,6620.673525920545,7934.656119406218,6075.469232185291,3990.6051598677805,2854.4738720498863,2018Q4
40,5987.078600231927,10504.162959176245,5626.90687315446,6777.240677803376,8027.452830547127,6256.181719373331,4238.921781228288,3484.871748736942,2019Q1
41,6129.922084511483,10667.58849896252,5804.760017482364,7043.343808325349,8158.971594483429,6546.243666264508,4662.1154639476335,2998.6601749211377,2019Q2
42,6287.552179912663,10844.949541537311,6007.172675775426,7297.264277349333,8297.962962992424,6834.246682899824,5066.128313461872,3225.9410686377914,2019Q3
43,6434.425921747718,11008.321453733257,6198.993934670272,7510.818031507868,8424.50462157566,7082.352816422943,5405.370153996981,4008.97981268077,2019Q4
44,6593.0671990067585,11186.858148069998,6398.974126616542,7778.281167030203,8569.446667058412,7372.824432242673,5827.074121459407,4707.857664800287,2020Q1
45,6886.3251016756985,11518.574353941232,6778.481485650959,8253.57361825353,8822.731047863064,7927.128264350722,6590.143696591682,3822.784074477683,2020Q2
46,7178.475371584009,11845.82308166471,7160.157170346161,8693.689941566292,9072.557667675595,8444.908045970495,7294.244958968391,4162.129754180051,2020Q3
47,8535.5,13299.5,7715.083333333334,9205.9,10051.75,8261.333333333334,7186.944444444445,5052.0,2020Q4
48,7613.216657649241,12329.308605044884,7736.298365112527,9299.086134151052,9435.794596067935,9177.862284817104,8264.52584264787,5429.514065840627,2021Q1
49,7884.70081891687,12636.060606078563,8087.9240711699895,9735.857256820147,9670.118907823571,9687.422692277283,8965.397890112989,4747.82526598626,2021Q2
50,8150.3110572296,12936.63211142231,8424.450062101678,10189.711255131248,9909.231057540133,10191.222841558576,9686.337065285563,4824.23508776809,2021Q3
51,8532.5,13334.0,8561.041666666666,11258.1,10678.5,11805.666666666666,11307.888888888889,5715.0,2021Q4
52,8799.93881747861,13663.62977766349,9270.646899362213,11171.518697751095,10468.665371982192,11335.522970629052,11252.956192804584,6263.221297935581,2022Q1
53,9381.631883941536,14316.678264035094,10035.536984409999,12042.518110605173,10958.255333247467,12381.866708283465,12654.788139266693,5513.769395264964,2022Q2
54,9737.60799507254,14720.120979593972,10484.28726854347,12662.072241023103,11281.352244460177,13063.701827173512,13637.85872863984,5592.228432318874,2022Q3
55,10412.0,14076.5,11533.333333333334,12619.8,10167.25,14278.333333333334,14509.944444444445,6742.0,2022Q4
56,10026.5,16544.0,11759.833333333334,13954.2,10426.5,15513.833333333334,16647.277777777777,7739.5,2023Q1
57,11311.585944495182,16490.157005924426,12511.919244457531,15170.68299806149,12661.137232478493,15928.977095053799,17634.257194567454,7516.317525751298,2023Q2
58,10564.0,16229.0,13664.8125,16059.4,11820.75,16240.75,19040.75,7829.0,2023Q3
59,10714.0,16599.5,12292.5,15930.4,11349.25,17221.5,19537.666666666668,9651.0,2023Q4
60,12783.5,16237.0,14497.25,16969.9,12751.375,17198.0,19455.333333333332,9465.0,2024Q1
61,14421.0,18544.5,15157.125,18728.9,14881.5,17099.0,20156.5,9372.0,2024Q2
62,15758.0,22102.5,13785.9375,19628.625,16915.0,9502.0,15802.25,9502.0,2024Q3
63,14774.0,20154.5,17207.75,18042.875,15395.0,18878.020204959066,20154.5,10461.710507251606,2024Q4
